"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-25;;;;6.07;105965347986.63;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-24;;;;6.07;105724215015.01;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-23;;;;6.08;105542019391.72;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-22;;;;6.05;104786531701.1;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-19;;;;6.06;103373107723.55;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-18;;;;6.07;99700715241.68;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-17;;;;6.07;97151662829.41;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-16;;;;6.1;97614195529.61;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-15;;;;6.07;98496200864.02;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-12;;;;5.98;101818645005.97;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-11;;;;6;99516644774.29;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-10;;;;5.95;98280409532.9;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-09;;;;5.8;98751053857.64;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-08;;;;5.82;97332258064.32;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-05;;;;5.98;93314715065.59;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-04;;;;6.06;90988279359.42;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-03;;;;6.12;94072075630.23;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-02;;;;6.24;90634340062.08;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-07-01;;;;6.28;100379525310.11;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-06-28;;;;6.32;101387578540.6;;
MICEXEQRRON;ллба пеон ЮЙЖ 1 ДЕМЭ;2013-06-27;;;;6.24;100988262253.08;;
